,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
107,107,4.0,10.0,18.0,20.0,5.0,14.0,91.0,26.62,0.0,5.96,171,22
108,108,16.0,3.0,16.0,8.0,18.0,13.0,36.0,12.33,0.0,5.23,3,1
110,110,17.0,19.0,13.0,15.0,4.0,9.0,46.0,13.71,0.0,6.35,34,55
111,111,10.0,7.0,20.0,3.0,2.0,3.0,34.0,16.05,0.0,16.49,94,158
112,112,10.0,18.0,11.0,4.0,17.0,8.0,98.0,13.02,0.0,6.44,15,60
113,113,6.0,3.0,14.0,10.0,10.0,17.0,18.0,13.57,0.0,8.56,31,110
114,114,19.0,17.0,7.0,18.0,4.0,14.0,82.0,13.09,0.0,6.37,18,56
115,115,18.0,13.0,9.0,10.0,15.0,12.0,73.0,14.08,0.0,6.24,49,43
116,116,5.0,6.0,4.0,4.0,13.0,13.0,76.0,23.47,0.0,11.59,163,145
117,117,15.0,5.0,18.0,10.0,12.0,16.0,96.0,14.12,0.0,5.53,50,6
118,118,14.0,7.0,16.0,16.0,17.0,11.0,64.0,13.28,0.0,5.8,25,12
119,119,2.0,15.0,10.0,5.0,16.0,2.0,80.0,17.53,0.0,8.8,121,115
120,120,7.0,1.0,12.0,16.0,13.0,1.0,68.0,13.64,0.0,12.28,33,149
121,121,3.0,3.0,13.0,1.0,12.0,2.0,15.0,15.91,0.0,17.62,91,163
122,122,20.0,1.0,9.0,10.0,8.0,5.0,97.0,22.47,0.0,11.07,160,139
123,123,19.0,10.0,7.0,4.0,14.0,15.0,92.0,16.38,0.0,6.14,105,35
124,124,11.0,13.0,6.0,11.0,14.0,14.0,19.0,13.91,0.0,6.1,42,31
125,125,15.0,5.0,17.0,11.0,5.0,7.0,24.0,14.2,0.0,6.85,53,76
126,126,15.0,12.0,13.0,14.0,16.0,13.0,94.0,22.26,0.0,6.28,159,47
127,127,8.0,7.0,15.0,7.0,19.0,2.0,50.0,13.34,0.0,9.04,27,118
129,129,6.0,8.0,20.0,10.0,20.0,3.0,91.0,24.48,0.0,6.34,167,53
131,131,17.0,18.0,14.0,19.0,15.0,16.0,33.0,14.52,0.0,6.32,64,51
132,132,16.0,7.0,11.0,9.0,2.0,2.0,7.0,18.36,0.0,16.47,129,157
133,133,6.0,12.0,1.0,10.0,1.0,5.0,9.0,19.68,0.0,18.65,145,167
134,134,14.0,8.0,20.0,13.0,18.0,8.0,59.0,14.82,0.0,5.88,69,16
135,135,7.0,11.0,20.0,4.0,20.0,3.0,41.0,12.88,0.0,6.67,9,69
136,136,11.0,18.0,15.0,11.0,9.0,1.0,67.0,15.44,0.0,6.54,82,64
137,137,2.0,7.0,12.0,3.0,7.0,17.0,45.0,13.13,0.0,9.94,21,133
138,138,7.0,7.0,9.0,10.0,10.0,17.0,50.0,13.42,0.0,7.32,30,84
139,139,9.0,16.0,12.0,8.0,2.0,10.0,71.0,16.8,0.0,8.47,109,108
140,140,3.0,1.0,15.0,16.0,15.0,2.0,53.0,13.93,0.0,10.06,43,135
141,141,16.0,15.0,15.0,4.0,3.0,3.0,31.0,15.07,0.0,7.08,75,80
142,142,4.0,5.0,14.0,7.0,15.0,20.0,10.0,16.5,0.0,9.61,107,129
143,143,14.0,18.0,13.0,2.0,6.0,8.0,63.0,15.11,0.0,6.76,76,74
144,144,8.0,5.0,9.0,12.0,11.0,14.0,14.0,17.02,0.0,9.54,114,126
146,146,15.0,17.0,20.0,15.0,18.0,9.0,35.0,13.02,0.0,6.15,14,39
148,148,14.0,8.0,7.0,10.0,1.0,18.0,66.0,16.12,0.0,6.37,96,57
150,150,19.0,12.0,8.0,18.0,10.0,8.0,95.0,22.48,0.0,5.95,161,20
151,151,8.0,3.0,17.0,10.0,11.0,8.0,48.0,13.74,0.0,11.89,35,146
152,152,16.0,10.0,19.0,6.0,5.0,1.0,71.0,23.66,0.0,8.47,164,107
153,153,17.0,11.0,12.0,19.0,1.0,5.0,51.0,13.87,0.0,6.64,41,67
155,155,16.0,19.0,7.0,8.0,5.0,8.0,98.0,24.75,0.0,6.4,168,58
156,156,13.0,12.0,20.0,19.0,5.0,16.0,14.0,15.53,0.0,5.99,84,24
157,157,20.0,1.0,17.0,20.0,12.0,16.0,59.0,15.13,0.0,5.5,77,5
158,158,10.0,1.0,8.0,18.0,6.0,16.0,95.0,18.94,0.0,18.38,135,166
159,159,16.0,18.0,11.0,3.0,9.0,5.0,78.0,14.93,0.0,6.63,71,66
160,160,13.0,7.0,11.0,10.0,13.0,2.0,27.0,13.24,0.0,9.73,24,132
161,161,2.0,11.0,8.0,11.0,15.0,8.0,34.0,12.21,0.0,7.92,2,97
162,162,12.0,6.0,10.0,1.0,12.0,19.0,70.0,14.14,0.0,7.57,52,89
163,163,2.0,5.0,12.0,1.0,16.0,2.0,4.0,20.31,0.0,19.24,150,172
164,164,8.0,2.0,1.0,8.0,11.0,3.0,8.0,19.58,0.0,16.37,144,156
165,165,12.0,14.0,5.0,7.0,15.0,14.0,19.0,13.99,0.0,7.1,47,81
166,166,12.0,10.0,6.0,11.0,14.0,13.0,2.0,21.6,0.0,7.9,158,95
167,167,14.0,9.0,18.0,18.0,15.0,2.0,73.0,13.81,0.0,6.15,38,36
168,168,4.0,14.0,13.0,6.0,1.0,17.0,18.0,19.49,0.0,11.57,141,144
169,169,20.0,17.0,5.0,3.0,11.0,8.0,23.0,12.7,0.0,7.37,5,85
170,170,8.0,1.0,6.0,18.0,6.0,3.0,55.0,13.82,0.0,11.11,40,141
171,171,20.0,4.0,20.0,15.0,5.0,20.0,78.0,25.45,0.0,5.42,169,2
173,173,3.0,12.0,10.0,5.0,15.0,8.0,65.0,16.37,0.0,9.31,104,123
174,174,12.0,6.0,13.0,11.0,9.0,16.0,51.0,13.19,0.0,5.73,23,10
175,175,1.0,10.0,17.0,10.0,18.0,16.0,5.0,20.63,0.0,10.73,153,136
176,176,18.0,19.0,18.0,9.0,2.0,15.0,51.0,15.07,0.0,6.27,74,46
177,177,4.0,13.0,12.0,16.0,2.0,1.0,35.0,16.34,0.0,16.78,102,159
178,178,2.0,9.0,19.0,10.0,7.0,17.0,67.0,13.96,0.0,9.7,46,131
179,179,11.0,13.0,9.0,7.0,4.0,19.0,43.0,14.36,0.0,6.26,59,45
180,180,8.0,19.0,18.0,12.0,6.0,5.0,43.0,12.95,0.0,6.74,12,73
181,181,1.0,19.0,2.0,19.0,5.0,12.0,47.0,14.45,0.0,18.34,62,165
182,182,10.0,10.0,11.0,16.0,13.0,20.0,56.0,13.12,0.0,6.03,19,28
183,183,6.0,1.0,5.0,19.0,2.0,15.0,17.0,14.27,0.0,9.69,56,130
184,184,11.0,1.0,16.0,9.0,20.0,7.0,9.0,14.38,0.0,11.09,60,140
185,185,18.0,14.0,9.0,6.0,17.0,6.0,9.0,17.65,0.0,6.23,122,42
186,186,6.0,19.0,4.0,17.0,18.0,20.0,50.0,13.76,0.0,5.84,36,14
188,188,9.0,9.0,18.0,17.0,18.0,11.0,44.0,13.19,0.0,5.93,22,19
189,189,7.0,14.0,5.0,1.0,17.0,5.0,85.0,23.22,0.0,7.66,162,92
190,190,19.0,13.0,12.0,15.0,2.0,18.0,53.0,15.6,0.0,6.15,86,37
192,192,7.0,12.0,16.0,1.0,8.0,19.0,31.0,13.82,0.0,7.12,39,82
193,193,9.0,6.0,14.0,3.0,19.0,15.0,31.0,13.93,0.0,6.29,44,48
194,194,15.0,17.0,4.0,7.0,6.0,15.0,9.0,19.05,0.0,8.8,138,114
195,195,14.0,13.0,9.0,9.0,14.0,12.0,79.0,13.78,0.0,6.24,37,44
197,197,9.0,7.0,13.0,13.0,14.0,13.0,90.0,20.63,0.0,5.96,152,23
199,199,9.0,11.0,1.0,13.0,16.0,17.0,18.0,16.96,0.0,8.15,112,99
